owner,repo,owner_type,created_at,pushed_at,license_spdx,default_branch,stars_now,forks,open_issues,watchers,topics_json,readme_len,has_releases
vuiodev,vuio,Organization,2025-08-12T07:35:28Z,2025-08-29T01:20:23Z,Apache-2.0,main,85,0,4,0,"[""dlna"", ""dlna-server"", ""media-server"", ""open-source"", ""rust"", ""dlna-upnp"", ""docker"", ""media"", ""server"", ""arm64"", ""linux"", ""macos"", ""windows"", ""x64"", ""upnp""]",24986,True
cross-tools,musl-cross,Organization,2024-03-17T11:56:22Z,2025-08-15T02:14:23Z,MIT,main,94,18,1,5,"[""cross-compiler"", ""multi-architecture"", ""musl-libc"", ""static-linking"", ""cross-toolchain""]",2624,True
davidbuchanan314,anubis_offload,User,2025-08-24T13:53:38Z,2025-08-26T23:56:20Z,MIT,main,92,2,0,1,[],5027,False
schlae,cm5-reveng,User,2025-08-24T19:47:22Z,2025-08-26T01:55:58Z,,main,177,12,1,1,[],9436,False
adamhl8,filterql,User,2025-08-14T14:49:54Z,2025-08-28T23:12:31Z,MIT,main,196,0,0,1,"[""data"", ""filter"", ""filtering"", ""language"", ""query"", ""typescript"", ""filterql"", ""query-language""]",18167,True
repomirrorhq,repomirror,Organization,2025-08-23T01:35:15Z,2025-08-25T16:04:13Z,,main,204,11,3,1,[],1092,False
roryclear,clearcam,User,2025-01-04T19:32:55Z,2025-08-27T12:33:38Z,AGPL-3.0,main,366,9,0,1,"[""ipcamera"", ""object-detection"", ""tinygrad"", ""yolov8"", ""selfhosted"", ""machine-learning"", ""rtsp-server"", ""nvr"", ""ai""]",2534,True
unkn0wn-root,cascache,User,2025-08-23T09:29:49Z,2025-08-28T21:20:23Z,NOASSERTION,main,43,0,0,1,"[""bigcache"", ""cache"", ""caching"", ""go"", ""golang"", ""redis"", ""ristretto""]",14403,True
phantomics,seed,User,2017-10-12T00:18:31Z,2025-08-25T22:38:37Z,GPL-3.0,master,130,6,2,11,"[""common-lisp"", ""seed""]",6167,False
nimeshnayaju,decode-kit,User,2025-08-21T17:22:34Z,2025-08-27T23:11:54Z,MIT,main,143,3,0,1,"[""typescript"", ""validation""]",8128,False
