hn_id,time_utc,title,url,resolved_url,score,descendants,is_show_hn,author
45010461,2025-08-25T05:17:44+00:00,Show HN: Timep – A next-gen profiler and flamegraph-generator for bash code,https://github.com/jkool702/timep,https://github.com/jkool702/timep,53,11,True,jkool702
45009486,2025-08-25T01:52:34+00:00,Show HN: Decentralized Bitcoin Incentives via QR Codes,https://github.com/DT7QR/Bitcoin-Rewards-System-Proposal,https://github.com/DT7QR/Bitcoin-Rewards-System-Proposal,11,2,True,Yodan2025
45008406,2025-08-24T22:31:22+00:00,Introducing: VuIO – open-source UPNP/DLNA server written in Rust,https://github.com/vuiodev/vuio,https://github.com/vuiodev/vuio,25,1,False,vyrti
45008308,2025-08-24T22:20:07+00:00,GNU cross-tools: musl-cross 313.3M,https://github.com/cross-tools/musl-cross,https://github.com/cross-tools/musl-cross,34,17,False,1vuio0pswjnm7
45007797,2025-08-24T21:08:26+00:00,Anubis_offload: Userscript to offload Anubis PoW to native CPU or GPU code,https://github.com/DavidBuchanan314/anubis_offload,https://github.com/DavidBuchanan314/anubis_offload,11,2,False,Bogdanp
45007525,2025-08-24T20:34:49+00:00,Reverse Engineered Raspberry Pi Compute Module 5,https://github.com/schlae/cm5-reveng,https://github.com/schlae/cm5-reveng,88,23,False,_Microft
45006686,2025-08-24T18:55:01+00:00,Show HN: FilterQL – A tiny query language for filtering structured data,https://github.com/adamhl8/filterql,https://github.com/adamhl8/filterql,76,21,True,genshii
45005434,2025-08-24T16:18:53+00:00,We put a coding agent in a while loop,https://github.com/repomirrorhq/repomirror/blob/main/repomirror.md,https://github.com/repomirrorhq/repomirror/blob/main/repomirror.md,417,303,False,sfarshid
45003420,2025-08-24T11:34:15+00:00,Show HN: Clearcam – Add AI object detection to your IP CCTV cameras,https://github.com/roryclear/clearcam,https://github.com/roryclear/clearcam,230,66,True,roryclear
45003358,2025-08-24T11:24:40+00:00,Show HN: CasCache – multi-generational cache with optimistic concurrency control,https://github.com/unkn0wn-root/cascache,https://github.com/unkn0wn-root/cascache,20,2,True,unkn0wn_root
45001979,2025-08-24T06:57:19+00:00,Seed: Interactive software environment based on Common Lisp,https://github.com/phantomics/seed,https://github.com/phantomics/seed,120,21,False,todsacerdoti
45001466,2025-08-24T04:43:34+00:00,A lightweight TypeScript library for assertion-based runtime data validation,https://github.com/nimeshnayaju/decode-kit,https://github.com/nimeshnayaju/decode-kit,30,35,False,nayajunimesh
45001371,2025-08-24T04:23:33+00:00,ThinkMesh: A Python lib for parallel thinking in LLMs,https://github.com/martianlantern/ThinkMesh,https://github.com/martianlantern/ThinkMesh,72,4,False,martianlantern
45000982,2025-08-24T03:08:15+00:00,Show HN: Port Kill – A lightweight macOS status bar development port monitor,https://github.com/kagehq/port-kill,https://github.com/kagehq/port-kill,125,47,True,lexokoh
45000400,2025-08-24T01:09:06+00:00,DeepCode: Open Agentic Coding,https://github.com/HKUDS/DeepCode,https://github.com/HKUDS/DeepCode,13,3,False,pykello
44998316,2025-08-23T19:10:32+00:00,Optimizing FizzBuzz in Rust,https://github.com/nrposner/fizzcrate,https://github.com/nrposner/fizzcrate,30,16,False,Bogdanp
44995189,2025-08-23T11:29:17+00:00,"Show HN: Create and share animated, interactive wallpapers with HTML/CSS/JS",https://github.com/underpig1/octos,https://github.com/underpig1/octos,11,2,True,underpig
44995147,2025-08-23T11:22:15+00:00,"LunarEngine: An open source, Roblox-compatible game engine",https://github.com/lunarengine/lunar-test,https://github.com/lunarengine/lunar-test,279,98,False,dedicateddev
44994535,2025-08-23T09:07:38+00:00,SpaCy: Industrial-Strength Natural Language Processing (NLP) in Python,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,132,62,False,marklit
44994071,2025-08-23T07:35:49+00:00,Manim: Animation engine for explanatory math videos,https://github.com/3b1b/manim,https://github.com/3b1b/manim,427,68,False,pykello
44993874,2025-08-23T06:53:22+00:00,DeepCode: Open Agentic Coding,https://github.com/HKUDS/DeepCode,https://github.com/HKUDS/DeepCode,18,2,False,balex
44993761,2025-08-23T06:31:00+00:00,"Show HN: OctaneDB – Fast, Open-Source Vector Database for Python",https://github.com/RijinRaju/octanedb,https://github.com/RijinRaju/octanedb,33,12,True,rijin_r
44993297,2025-08-23T04:57:44+00:00,Show HN: AgentState – Lightweight state manager for multi-agent AI workflows,https://github.com/ayushmi/agentstate,https://github.com/ayushmi/agentstate,15,0,True,boulevard
44990680,2025-08-22T22:29:28+00:00,Glyn: Type-safe PubSub and Registry for Gleam actors with distributed clustering,https://github.com/mbuhot/glyn,https://github.com/mbuhot/glyn,75,11,False,TheWiggles
44988529,2025-08-22T19:06:22+00:00,"Show HN: Any-LLM chat demo – switch between ChatGPT, Claude, Ollama, in one chat",https://github.com/mozilla-ai/any-llm/tree/main/demos/chat,https://github.com/mozilla-ai/any-llm/tree/main/demos/chat,10,0,True,AMeckes
44988271,2025-08-22T18:47:30+00:00,Show HN: JavaScript-free (X)HTML Includes,https://github.com/Evidlo/xsl-website,https://github.com/Evidlo/xsl-website,210,114,True,Evidlo
44987552,2025-08-22T17:56:12+00:00,Should the web platform adopt XSLT 3.0?,https://github.com/whatwg/html/issues/11578,https://github.com/whatwg/html/issues/11578,133,107,False,protomolecool
44987346,2025-08-22T17:38:57+00:00,XSLT removal will break multiple government and regulatory sites,https://github.com/whatwg/html/issues/11582,https://github.com/whatwg/html/issues/11582,157,142,False,colejohnson66
44987221,2025-08-22T17:27:00+00:00,"Show HN: BrowserOS -- browser agents with GPT-OSS, local llms",https://github.com/browseros-ai/BrowserOS,https://github.com/browseros-ai/BrowserOS,12,2,True,felarof
44986914,2025-08-22T17:00:35+00:00,Bubbletea-rs: a Rust implementation of Bubbletea,https://github.com/whit3rabbit/bubbletea-rs,https://github.com/whit3rabbit/bubbletea-rs,18,3,False,jasonjmcghee
